#States        J         KA         KC     Energy
  230         27          0         27   7279.559
  231         22          8         15   7281.248
  232         19         13          6   7283.030
  233         23          5         18   7283.797
  234         16         16          1   7331.418
  235         20         12          9   7388.494
  236         24          5         20   7487.580
  237         22          9         14   7531.029
  238         21         11         10   7559.803
  239         23          6         17   7578.980
  240         25          3         22   7639.278
  241         18         15          4   7694.179
  242         19         14          5   7703.615
  243         26          3         24   7742.361
  244         17         16          1   7743.864
  245         20         13          8   7773.765
  246         27          1         26   7798.574
  247         22         10         13   7801.844
  248         28          1         28   7808.989
  249         23          7         16   7820.631
  250         24          6         19   7839.966
  251         21         12          9   7907.181
  252         23          8         15   7996.017
  253         25          4         21   8041.054
  254         22         11         12   8108.090
  255         19         15          4   8157.128
  256         24          7         18   8160.747
  257         23          9         14   8162.006
  258         18         16          3   8181.108
  259         26          4         23   8191.113
  260         20         14          7   8192.872
  261         17         17          0   8263.595
  262         21         13          8   8290.202
  263         27          2         25   8292.820
  264         28          2         27   8347.773
  265         29          0         29   8356.975
  266         23         10         13   8390.926
  267         25          5         20   8413.911
  268         24          8         17   8449.871
  269         22         12         11   8452.128
  270         26          5         22   8613.020
  271         19         16          3   8643.244
  272         20         15          6   8645.209
  273         23         11         12   8684.639
  274         18         17          2   8700.270
  275         21         14          7   8707.578
  276         24          9         16   8717.692
  277         25          6         19   8754.497
  278         27          3         24   8761.480
  279         22         13         10   8832.531
  280         28          3         26   8861.828
  281         29          1         28   8915.526
  282         30          1         30   8923.516
  283         24         10         15   8988.464
  284         26          6         21   9006.451
  285         23         12         11   9023.707
  286         25          7         18   9053.919
  287         20         16          5   9130.371
  288         21         15          6   9158.543
  289         19         17          2   9161.734
  290         27          4         23   9203.471
  291         22         14          9   9247.889
  292         18         18          1   9251.533
  293         24         11         14   9286.365
  294         25          8         17   9290.012
  295         28          4         25   9350.382
  296         26          7         20   9369.141
  297         23         13         10   9400.964
  298         29          2         27   9449.385
  299         25          9         16   9465.703
  300         30          2         29   9501.834
  301         31          0         31   9508.612
  302         27          5         22   9617.286
  303         24         12         13   9621.926
  304         21         16          5   9642.595
  305         20         17          4   9648.076
  306         25         10         15   9657.306
  307         22         15          8   9697.261
  308         26          8         19   9698.799
  309         19         18          1   9712.437
  310         28          5         24   9812.424
  311         23         14          9   9813.973
  312         25         11         14   9922.409
  313         29          3         26   9957.821
  314         24         13         12   9995.712
  315         26          9         18   9997.523
