#States        J         KA         KC     Energy
  230         26          1         25   7267.929
  231         27          1         27   7279.559
  232         19         13          7   7283.030
  233         23          6         18   7284.313
  234         16         16          0   7331.418
  235         22          8         14   7382.180
  236         20         12          8   7388.496
  237         24          4         20   7487.566
  238         22          9         13   7559.058
  239         21         11         11   7559.656
  240         23          7         17   7584.318
  241         25          4         22   7639.278
  242         18         15          3   7694.179
  243         19         14          6   7703.615
  244         26          2         24   7742.361
  245         17         16          2   7743.864
  246         20         13          7   7773.765
  247         27          2         26   7798.574
  248         22         10         12   7806.018
  249         28          0         28   7808.989
  250         24          5         19   7839.738
  251         23          8         16   7855.053
  252         21         12         10   7907.172
  253         25          5         21   8041.059
  254         22         11         11   8108.498
  255         23          9         15   8112.092
  256         19         15          5   8157.128
  257         24          6         18   8158.126
  258         18         16          2   8181.108
  259         26          3         23   8191.113
  260         20         14          6   8192.872
  261         17         17          1   8263.595
  262         21         13          9   8290.202
  263         27          3         25   8292.820
  264         28          1         27   8347.773
  265         29          1         29   8356.975
  266         23         10         14   8381.681
  267         25          6         20   8414.010
  268         24          7         17   8429.981
  269         22         12         10   8452.157
  270         26          4         22   8613.017
  271         24          8         16   8633.390
  272         19         16          4   8643.244
  273         20         15          5   8645.209
  274         23         11         13   8683.580
  275         18         17          1   8700.270
  276         21         14          8   8707.578
  277         25          7         19   8755.741
  278         27          4         24   8761.480
  279         24          9         15   8798.349
  280         22         13          9   8832.532
  281         28          2         26   8861.828
  282         29          2         28   8915.526
  283         30          0         30   8923.516
  284         26          5         21   9006.409
  285         24         10         14   9007.403
  286         23         12         12   9023.620
  287         25          8         18   9064.703
  288         20         16          4   9130.371
  289         21         15          7   9158.543
  290         19         17          3   9161.734
  291         27          5         23   9203.471
  292         22         14          8   9247.889
  293         18         18          0   9251.533
  294         24         11         13   9288.933
  295         25          9         17   9346.597
  296         28          3         25   9350.382
  297         26          6         20   9368.567
  298         23         13         11   9400.959
  299         29          3         27   9449.385
  300         30          1         29   9501.834
  301         31          1         31   9508.612
  302         27          6         22   9617.303
  303         25         10         16   9621.661
  304         24         12         12   9622.169
  305         21         16          6   9642.595
  306         20         17          3   9648.076
  307         26          7         19   9693.237
  308         22         15          7   9697.261
  309         19         18          2   9712.437
  310         28          4         24   9812.424
  311         23         14         10   9813.972
  312         25         11         15   9916.578
  313         29          4         26   9957.821
  314         26          8         18   9962.462
  315         24         13         11   9995.729
